"Name","Status","StartType","DisplayName"
"Hamachi2Svc","Running","Automatic","Hamachi Tunneling Engine"
"HfcDisableService","Stopped","Disabled","Intel(R) RST HFC Disable Service"
"hidserv","Stopped","Manual","Servicio de dispositivo de interfaz humana"
"hns","Running","Manual","Servicio de red de host"
"HvHost","Running","Manual","Servicio de host HV"
"iaStorAfsService","Stopped","Manual","Intel(R) Optane(TM) Memory Service"
"icssvc","Stopped","Manual","Servicio de punto de conexión de Windows Mobile"
"igccservice","Running","Automatic","Intel(R) Graphics Command Center Service"
"igfxCUIService2.0.0.0","Running","Automatic","Intel(R) HD Graphics Control Panel Service"
"IKEEXT","Running","Automatic","Módulos de creación de claves de IPsec para IKE y AuthIP"
"InstallService","Running","Manual","Servicio de instalación de Microsoft Store"
"Intel(R) Capability Licensing Service TCP IP Interface","Stopped","Manual","Intel(R) Capability Licensing Service TCP IP Interface"
"Intel(R) TPM Provisioning Service","Running","Automatic","Intel(R) TPM Provisioning Service"
"InventorySvc","Running","Manual","Servicio de inventario y compatibilidad de proveedores"
"iphlpsvc","Running","Automatic","Aplicación auxiliar IP"
"IpxlatCfgSvc","Stopped","Manual","Servicio de configuración de traslación de IP"
"jhi_service","Running","Automatic","Intel(R) Dynamic Application Loader Host Interface Service"
"KeyIso","Running","Manual","Aislamiento de claves CNG"
"KtmRm","Stopped","Manual","KTMRM para DTC (Coordinador de transacciones distribuidas)"
"LanmanServer","Running","Automatic","Servidor"
"LanmanWorkstation","Running","Automatic","Estación de trabajo"
"lfsvc","Running","Manual","Servicio de geolocalización"
"LicenseManager","Running","Manual","Servicio de administrador de licencias de Windows"
"lltdsvc","Stopped","Manual","Asignador de detección de topologías de nivel de vínculo"
"lmhosts","Running","Manual","Aplicación auxiliar de NetBIOS sobre TCP/IP"
"LMIGuardianSvc","Running","Automatic","LMIGuardianSvc"
"LMS","Running","Automatic","Intel(R) Management and Security Application Local Management Service"
"LSM","Running","Automatic","Administrador de sesión local"
"LxpSvc","Stopped","Manual","Servicio de experiencia de idioma"
"MapsBroker","Stopped","Automatic","Administrador de mapas descargado"
"McpManagementService","Stopped","Manual","McpManagementService"
